address,boxId,amount,percentage
9i25fHmcxdHeShfA2HvVdsBJU7Fg2GquA2E7KXL4PMEBce1kiP5,fff894cf55cc0b9fd4853d1218813360f093db9cd9d53a1eb6a90dc961a5160e526c4ba735d78d108cd409ca8d09c3f27b1716133eed0f36d163f4bc8c1e50f8105abc77ce4c7e4a7772856d3f3d4a1ecf32860b425fbe2cf49246645a1a6b45,20745800000000,0.987895
9iFfBGhEb6NuLohcZ4RJjdrPBgZadTx4d8uZUoYepupouCjfDzp,c2bb7e87f5469edf8ff3bdc3f925ef72bebfcc9dfa7bd8a2ce8dd170c5b3aae0,154000000000,0.007333
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,65e34ca66d3f57c5d843263352f16879eab883525db3fe048e2e94c72736d3d7,37436181508,0.001783
9ergufLMrX3TDVjs1i6Yw73HC3XVC8dr3khLLKi3jRZkudfEYzK,0ac783e9424606dd1a284f79fb6501850d87d86b076de860d0a71a0b487929f4382c1d5078508eaacf2995ba4c0004ccf3255eefce19fd7e5b628dc37e47d2cc,9411333802,0.000448
9g53pYKPHAwM2b3q866xpGYLuuDZpMyyxmS2GG3Yyr3zFVaHDYW,8888c3caae3cc50f7897dc6380f83f200cfd82b00678896f9ab506d439f6e00d,9000000000,0.000429
9g2AriJ7Q2JjbbDr8rHarYXHihkkyGjAq7ni8bqKDKNJoo6oevV,1d1fd6b72c57227845b4009bf4d8dd3bc0df006b87195e095e5d8192ba8ce13a,6000000000,0.000286
9gk3WMMhhspYawF9ZZmd7C89jJQH8VrHLqSjcVQhWzsECLvrjgW,7e03b539e144d9debe0451209e5d94c8b0d1f8e5e66400f9f7ad6df2fbc41c65,4000000000,0.00019
9f4H38ox4mdHaM1B9Xfq8Po6Jr8oBTvjjMWsBUw4YzyQcjv6BUF,46a250c3324c0513474cad5d4194bf86e846ea98f150ca446f7adbb2c68ef10a,4000000000,0.00019
9fjaoqKoTtuFUZMmkeA7quf2WotQwsq8EUYK5ZfCvZjCqWaW5B8,022760984d64302453d1ea3019c415ab035224265535002e686714b0e02c23ee,3990000000,0.00019
9h7qmGJiEwUb8F3EMyzsRLW7bRCoDeY18Mk53gi2hV4Tq1kKGT9,e092c77a872ab4eb2c658ecf037a1a98ab4313f311754d12d7cf2083e8b8a829,2000000000,9.5e-05
