address,amount,percentage
9h7vTRbrTT6tzPrRGSJCYCwVMg4LtjyQTSraR8HSEEJUXgM6rbb,28993806454,0.37282
9hYgR9g6XBPx8dX9VawHY17TVCKQ88NLZB8dr319V7j8R4AJZSf,5942610419,0.076414
9hPzvorF3Pc8w2bVfGnsvQVs5btaAoPw3iLcq5CvzsShXEu9bPj,4786429213,0.061547
9fyeEQBXvJzRYpRmrNy2eaB2kDqQGDk3KoSQGUB62db3tVDw2Z1,4419912680,0.056834
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,2954156313,0.037986
9fQpHaiJc8k6M73ev38jCYYkHnJgyuKo66ZjCqfczmhoGE83efQ,1307015783,0.016806
9hdHMQLSAHqWdPyUBdtQBhUzcYHCcv2WipWTASRA19SdqT1FAvm,1280163244,0.016461
9hpZNJcnXUKUytHVgffwFD99VECrCNN1dcDAupi7TzwxNuArpo9,1271063466,0.016344
9hUftJLUfrnVAdXGGt3U4skpvLDixgKizxSsHpFWBZYKz4Dsyng,1039518646,0.013367
9gPyMmtEMSQaD2TqBA43tHfEGnBKXBn21Vp194UkNtS2tLTYbNK,1006915539,0.012948
9hfYthpLAK1dwo4JqjGNnMC3izomqqupi4ZsBGcEoqb791ZFFzr,1004485364,0.012916
9fCCBqFyBWiCTHsGtk2MXG3epWmP2HicvLyBfAph4mAEU43L8H1,1000000000,0.012859
9fGpaKWYCXD71RF3f8ArtRZxu4yyeGMR6S28sWbXPgYPw26YpCF,1000000000,0.012859
9fQhWmwVVe4B8ChBGNWwFVx6sAKNzAzvbRjqatT1F65EgLdzzR7,910602857,0.011709
9g1Ng3GXDUvTr9w1KT1zoZ8DQT8UnUxqaw4sX8cCAGoUpmwB7HC,900000000,0.011573
9fDDX4RiHJqezYmUMvfpn9RXP4bYwr3NnosUYpVNKuvuFhzPm7i,887084886,0.011407
9gQ32HVVbzb1dJ95o5abfCwTRgqKxPSDEWf9RQ8nu4dgJXJCFq7,872047624,0.011213
