address,amount,percentage
9hqjjJEoc5gjH2PFsQN54wcPiGxpf4SX3pHY7r3FUtVuHTzNKHN,283611303848,0.567297
9hZt38EaMTfrh8xNhQAgdpHdMp6H2nveKV1P2AgNdjD4PPRHi5m,86745000000,0.173513
3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,64641043116,0.129299
9hVvkNEDnMEs5M3wsF7AcUTF6NpW6GcBJusL5iFL5jFv6VfpKPM,10158891344,0.02032
9hxk8tPN8RsbbeCYChBKJmBjNSEqcNcJW68gHJBBYnmAfDfZW9g,9158999953,0.01832
9hFPAU1x1NRsuCjUZmCCyptvosTxYbe5uDvPV7t2BjwbzbS1dH3,5686000000,0.011373
9h3DjWYXLriAn5cox3CeCFGxngTY3JQpy9RwZwP4x1xYAjeSN1G,5408000000,0.010817
9hcksqJGwwYP6hwxzs6fAqfu3Qdi7YdHoK9GrUxpYhNDeFCZrPh,3363000000,0.006727
9fZcwyzhZ8pzNQRNU2BM98f4puoykvdwyVoSWNVziezCiLMxUY9,2018817804,0.004038
9fJL6eDTjwvMgzVxjTnkMWjNJrErQeeGGi2yM4wAqJ4UxFgfcad,1500000000,0.003
9gxXk6UB4xm5qaquMM1JK6cX4gNLKwD5wbQCJNaExiiyy1FKSWv,1446338386,0.002893
9giun3ba4ZnPvxYdXpk89XvwWkmWqJNQpGxgTRz932PajDPjE2z,1324000000,0.002648
9hVL55CcVcvWsNEis6Q2JdeizJfvQ34vKgv8qSBYRM7eBhPGFh9,1091870000,0.002184
9fkPXhqxsPotshYhy87HKdJ5Q9ho2Zw8d3aioznoggijeAKRPsJ,1040000000,0.00208
9hK3Excpoabgqv55opSUbjA4ULE2FQpcyid61uDV1eAS2a5Aopr,1007910433,0.002016
9iPyvLEmRiXHpb4MsFwugP45zASADgpVwUxFPrmkWuEmttf3FRx,418145086,0.000836
9g8uAtaBMBmEdz1go5D31n9HR4JvwAMAoTLKfUe8FAsYuKJ2VhV,340000000,0.00068
