address,amount,percentage
2k6J5ocjeESe4cuXP6rwwq55t6cUwiyqDzNdEFgnKhwnWhttnSShZb4LaMmqTndrog6MbdT8iJbnnwWEcNoeRfEqXBQW4ohBTgm8rDnu9WBBZSixjJoKPT4DStGSobBkoxS4HZMe4brCgujdnmnMBNf8s4cfGtJsxRqGwtLMvmP6Z6FAXw5pYveHRFDBZkhh6qbqoetEKX7ER2kJormhK266bPDQPmFCcsoYRdRiUJBtLoQ3fq4C6N2Mtb3Jab4yqjvjLB7JRTP82wzsXNNbjUsvgCc4wibpMc8MqJutkh7t6trkLmcaH12mAZBWiVhwHkCYCjPFcZZDbr7xeh29UDcwPQdApxHyrWTWHtNRvm9dpwMRjnG2niddbZU82Rpy33cMcN3cEYZajWgDnDKtrtpExC2MWSMCx5ky3t8C1CRtjQYX2yp3x6ZCRxG7vyV7UmfDHWgh9bvU,4028176750299,0.476054
9fTosCDJnwEcYnyLbnuiNAqaDDkA36jkqVpGu4iJth3z2vkEyFg,1551410000000,0.183347
Jf7SDZuaVDGiCwCxC7N2y8cuptH3cgNT1nteJK469effW2gNarYn1AxsYjNcP7zYtvzmVjNPMmE3PYJRMC2E7m3yTDBrHvv8voJM35a9ktLb3bNeQ4qEJSyFse3pQeqcTxvPATNAv7RHc3fnAkBf3PsNBGFoRq2nwnciNwUaNcunyfWz2JDbwrBzMT7gMfs8U9YKAKGU1V754PUa1WRccaUfWxDAj5zVVkzkvVNNeQPH2g9GAu539Kc5792XLRwfv5MqaBkQ6KqHw8tgck2e55G4sY6n9ZQ4vboeuVC9JzsuiYraAuc6Lbj1NbPdDRaHXBUAQioDuzRBFxDFwLdmsZXykdvDfJZDytxPoCkzdfMmr8Zchga8vELSydrJ8smXbjWnrySGTZWqcQbJLB1YwPDiGVQvDvvQhRSezJcGMXUXea9zX6cCaeAsrqCULonZKVoeVgCNGte6VFk7PTKJ5W5LrRW1cgkJNRHYrpqPujPN8SoMgLjt1zvCKww5eSuu2RXqyZNVPRxMU3uQd3F2hRjGAmJA6M8Mz5QdZmoXj1LRWnrz1C1E6z6mL1Unry2GYWbxfTsVFRbZVZEv78yn9TUN7cuA163BSoxLVeKwUbGC2uiWeWSm1FzTPNCHHpVtBRfTACKoNbxag9SGgxpsepyxaF7snbXhKtBnqFvyg2ZEiiHXUDjY1Qy8kjf9JrdLmifU6WaZ7VdhNEdHGpf72ivo5sVPNEeUKoKfHAY6WWokivYjeSpKCSLjougKwaNoR79tUWdfN8CEudwUSebWXD92cbnMZxS7QBvGqcUSGRQuuD1uXgeWF8m76xgVH4sQfTuMMvYVWeH8e8bHHqtQMzw2FUajFo2F1mxxwVqvkUQJgmRQXYBndDGiquVCvTqNdZ25eo32gf,1443437957802,0.170587
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,573633846597,0.067793
5ZGAr8o2JnMpF1dVww63EfS6GjpV1sFkVwjAjZFhZXMVXSQTk98pi2AnzAod99QneCNvyuRb3FogtS5mGLprWgq6uFzGgTj3sZRStDDQhU9t983g8wAyBk7Qrpr7EokzJnVrEMsoqpUaqFTX13qTD2FPeDJFPa3yqcGggtki4PNq6St7K6DrHhmStikUbNGHdSqywuRXDiUp1jNgjLAA2M9LmdEUJfPSL7nDcE6UBkfkMRSmAfYPuRS35CfcQMDWmfLJtbzkRP76KZUs4796PxhbX9EVDhEgArAVJgQVxk8skGKCRrrmsYnE4WUgYcSiKY5pGfJXVfoBfiRn6AdYSnFfMcKYqESjM9kb2QBMjYkw5rz95wHxo6CK4EdnkJi7qZJTS39q9DRUoiFZi6dRiRXJtNrJp9JWSbwQjtmubRXqhPy4kwr6uWSSHdy488YpPwxApfch47icQ1cyesN8BDtGY6vYpr69ZaYTQYECSxYHBmWfvyrXKH4ywcF1V9cPsFA5aHsWeyhNdL78vEtjVj8UYHUpR2sVDqGPSUxzJ2YPS2ghPpHm28f3nXhhgdc36S6u9cUJVHiMbCjA4Hk4x4SEHBi96mEwhpeYjcnHgiASgtL7XxDythNbWCt6aXAw7f6o6b5JKqUDooG4iBn7gmBSQQ7WmPKABpLFsWypx,145000000000,0.017136
9hXmgvzndtapD8Yq47WGDokreV3WNhC95bdoSZ2pdcm1KQjhx1fnHkz2aFD5zRCagqJ8vdB2VRXFkcF7atLujFjrPdMZLQDWbboeFaaWYFZoRh5vabnZrskMNhKi6dKDbk8Ftvus4r4HcrqQA92kbr4sD6pii36CuW6ZcDsTwYeJFCiPhjWoc6jcup9G5cE6yhjqSYeTdd4VeU1nD5PMu66m9RAyFkb3Qf597zKRoBJdwpz7SRsQ15rUnJGcHBm3TDWxcArxs7UYYJ6nvWQ8RY7n5P1SxdWjueMG5AGmEpKuMqTNox3kjsp8WpVFA9RjnNne6VaHtbcraNzRyWubpRPc7ZaaRZPFjjkyECns1RhMKsiuC24b1NB5XgoWxijJ2KbENCM5yzwh9pY1yctRfxiLCwUqivTng58h,144205480000,0.017042
9ehtGMAL6gxjjz7TY8QdKnbsXzt8XSgEX4MuMKauf8cZpPumEtU,126749850081,0.014979
3eiC8caSy3jixP2iRTiYygUaYjRXXa45eva19FqeMD24Tykh17yux6MqT4t7FB2kHtFethYZjKhpBQyqSsUWdRWtwz1a8KMNnmEykv5JmT3sA6V6ZNfAtzdV8acRoBXhteVQ8nDMywZ8FvcBVbw6yBvXpcDjXRHzgbb35YHi51xJ9ZooaAmLHqBCJhXVMM1enpUYRxNPXdVZgeGnygmLq6k9LRS7Sp2MKciicyqbWpW8wVnzewmoEkvteCeAHErHkBagdLsYbs9dgBAktqAgwTvTRhLMkC42eWHnenAaFNih4GpReq9tz9AMhDJYWd2n7WVCDnVkDT6CXe8d83jSFkMaoiFoBLGqy5M68jMjUNS2yHuLo1GnyMjukB3y5N1vbyjUFstVPgHCs99e8LGE2QUE5YbX1LBQz934XvZo1heTXVfevmm9bZWBiruiwH7kCcv81tRE2Y22nk6EDMWdyYUYchjK31KqcMRrF2hdWFtocAL3bz3Pniz4zjnrFQQcWMsVypZRzqdWAdKpVjZswP4k4VyBJAerHniekyBQ5FMhtN3kNWUKHXYkhmqSmaiEx2Uw4JiK9KnXapT,88565465019,0.010467
9iLX7SxztB7S8pr8NnXzkxuQZSSkHCPbvjUkxnErv3zLdUYd7Qz,24919039618,0.002945
9htJf9LcukjA3ziSeyopcHbN9u9U8w6mXwFDi3g3Jjjesygue9n,19784118459,0.002338
