address,boxId,amount,percentage
9gHN2hfhzTSPTh5bo922PoB4qWf4JQsx8uKRBVDQZdp3gJAmnz6,9ea9510f67b20b2da63200245de3adad990e1cd89278a503e9cc5c8fdea52ec8,148696532425,0.227191
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,efc6de53f89ba1f5139eb6b74040a3a152ba2c049011a893dffaf072f6f69ddb,71169960441,0.108739
9iGaAifbvh9ffnpMqo95sihf9aGCFhtHTtDc4LsYnnWjZ4XpHjH,336020b2d7c5666dd8852b564fad8a040a919c88f0dedaf3f69e7dc53752520f,68736775535,0.105022
9hK2icxXbe4VTGZDmxQ8ueo13sFbu15qByLmkdwDNnpfqhrFDo6,51d7ca82949b3f386b49ca723ef9f267232fc306780b47118717ab7f22d30cf1,61592454771,0.094106
HNLdwoHRsUSevguzRajzvy1DLAvUJ9YgQezQq6GGZiY4TmU9VDs2ae8mRpQkfEnLmuUKyJibZD2bXR2yoo1p8T5WCRKPn4rJVJ2VR2LvRBk8ViCmhcume5ubWaySXTUqpftEaaURTM6KSFxe4QbRFbToyPzZ3JJmjoDn4WzHh5ioXZMj7AX6xTwJvFmzPuko9BqDk5z1RJtD1wP4kd8sSsLN9P2YNQxmUGDEBYHaDCoAhY7Pg5oKit6ZyqMynoiycWqctfg1EHhMUKCTJsZNnidU961ri98RaYP4CfEwYQ3d9dRVuC6S1n7J1wPPHYqmUBgJCGWbTULayXUowSSmRuZUkQYGo9vvNaEpB7ManiLsX1n8cBYwN4XoVsY24mCfptBP86P4rZ5fgcr9mYtQ9nG934DMDZBbjs81VzCupB6KVrGCe1WtYSr6c1DwkNAinBMwqcqxTznXZUvfBsjDSCtJzCut44xcc7Zsy9mWz2B2pqhdKsX83BVzMDDM5hnjXTShYfauJGs81,9a4cf90d6a5f0194a0f8344ee3b95a803983993afc6d42075a5c6a8794c1aa31b82030ad8c803caaa1e6bd3301a476a3ed01718b9c724ac42dae9b2e8478d1656415b54b82a7055364d3741d7e232366c22680f5f7dfe9e109532d9cb47f3c2ffbda8ed1b088d94db6170121fa9dd3390a6dd01c3902ee59794e62329b721f8fdcb70502903556aeb1fe5491b63192925b91be89a0a9115622d07181e19f664807ebf7c5c4501190d7cf22be12242aee7f90c298a722a282f76fd329ba348b36a45c27ccad21329523cffcf6972f9eb73adcd4096a64bcbbf5b1755177324f971f56bf30e5eefbb35f9eaa0e237a174adad14ca3511339166b1047b78999221d3a8fe550f3e0d06cff19fff9bc05006224b21906039808ce80f29e8fc20c767a832d357af007df651f203a2eb466cb24b8da90a27a921e14037cdc4479f0ea9d0e1b6215ec9a35d76d6bf6e3399c16e80ff3fc34a77d86328976c8678fdee05dd3d7febad14535ae172bc97af3fedab63959f2ac715df80deeb09e3317adb0bfba1694b927873431d8a6418cbe82d2294f61956707a6b24773b1b663f3c9a3e464fe6b77da1ccc516e5450f3a352749473c8466df2391136e324263e49325067224b03bff7b142d09d767c5eb35bb29e6fff675593c224a79c9a31e0a77279b7de2fd62ca56e0053af6004c65b9c7158bd786753fdde217164301e80d5bff0c121bdbb78fbf1fc74e58ebdcd8029b0d76969bbe7655175aaab7ca41eaf202ac9ada298b9f6fde4f3d60164dab0096f0f0fc3b30daea0197ca97bcfa186356ea012c2641df24f7e75e023a938567404103d9fb03e9dc8b9963d4c3662cc419426818b7364f75ea016e72e80a67826f7cd08fe623be5ed08ad838758f53bdffb0ba983e70da51b6dbca1a35a2bce351564ce905875645c6eafa14498e92233652f83e3ab9743088010ecbcf36b1be6f289d3918d98386faffbd02cb7d7e646f831bf85c306e78ef8cacf9b20b7685caf4be629429fb493690246a75bc982d4490d3d11147a4ec910c07f2cfce3d4b6e20d43d207754a589aba3116900f98f1d7b16bd382ffb2dc1f7c7fbe28af1449d6884990c0f13aac2f1a2a2bff071c569b702b8436bc279f772b392a25db3f13b90381255faa0f4732b8f16d4d2f9a509be825bc6502d598c70bbfb80f1cbbb68dd51f56d0f85c5f33e729a32e36181c7edaa1751b84332f43b223643eb186a40268ec8563ae9b1cb1a00d1b180715782fae7fa45cce6bd33c356056c146b2c3546593dbd81efaacbd03126c5bec39bd8b11980306b1f2a5a8a66854fd66b77c31de189b7e9ab85f3d8d44579b9133d412f3f4410f2b608692dbc1daa48df29eb28e6f4708f43a70865f684207857c8840494e1fb9499930a9588dac31fa28710eb7c38c02cedb38991eebeb8308c9c9fd821a59e624bfb7345e81d95138aa2d65432f92c8e8cc9cd7fe8b34e99dbd8904984b0aa96e8c342b766ba2c59aefb75292ff4b1f2f923f6fcbf5b814c2707de10c9f9c6f29fb2751f9d360105da8928422ad5ec54017339fb8bffeb72b46192f9c5574aed94641c96b361e5058b4b42c8b55ee7ca1f3405f9e2e01a3a8e7f8275b4825591392b21f1b043ec947f43fbe89205ac460498ec61d3e05c304fdcaeabc6f86909b34d48b5bc356e82a163a85afde6832a9aaf3a4c9688a41ebe0158b33,33200683163,0.050727
9hL5i6yg5ZJAzxPmmEogGD7nY8MYrVWYUCdc2bshbv3yS75krb4,036610c1d0018afbf96870804018ecd5d1069fed41258d8a1dd66d0c1cc908df,32500000000,0.049656
9hmS5u1Khhc4PFERTA2dGzSkDuwUrrENQEUAveF6gHj8xCi9qy3,e330c99e48065bc1d1e5d5aa32ed61f8e26d786a1580d2c74206c306df9458b8,31582534069,0.048254
2f7L4F3Q9eCjdWRmxSENw18Bw5SPAf3vBaimRqgpWB5JayiqSWG2tvnc6kF8ae8mpYwtZasmVDzmgjbfa8EBTdA1u55yB8ypRZDDFhs6DmhQekuGvzBoViApMyKdAXCPriXMaJWgHxAdjtR7QhXSjdnyozxZ7ApXrQY6hDSX6H2Fg9siuGUQpTQ3oJDa8nScMGdLNK2T5A7oHs,412145a8531069fd9ec7b6753de21315beffbbaf9ad5c57c1feca307ac2aa581b7530a3eed23098b0e7629d3edddb579443ec1180b5feb8fde1850a4a522409d,18000000000,0.027502
9gqumAiSKNvR9Uzzz3LStyuM1gTQM5yrT3vMEfw6CKNsmJa4CaX,434c74a892110c46e3e1067c5fcee36e05ba56b1f281098bb2f00ee03e38a7007c9ad9b3dec3f478a11e51b9eeb5a1392e3c813ad855ae004b41234438d94ebd,15398252669,0.023527
9hcMhyHAT9eDqqvvugtJcAs93MxhmThKuWPdF1hRop5DGnXp9iv,1baeece8be2ed4e9dbe23805557e21fb59a2b1754d46082ac5b964f3c989bb6e,15022535837,0.022953
