address,boxId,amount,percentage
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,127c0c7194c3a35f3a3f720e44ce91fdc7fdcaa2e16dae9ba85715ff35060f47,207447855726,0.398382
9hXYLpbQ7NCCwCzPH1hrT1XF1dwhzCqkZ1mQmGcH5YY5wA1UheX,52e67af381d1422e5bb020ac125fa7cf08f4541abfec6f5a79c5fa1555194a55,87489421910,0.168014
9gb3mPXuUbhVJrzvzR79d8hK5JTEWPduFfab4CkCFpr98dzQceG,ea16b7f574ae04df80beab42917f210d35446ae64482911bb4f7ae09cec4e0612f11cac9eae05f538227f7c95468ac8ac1a6ee8bc9ddf3fd2c28fa03ae9ab73d2bba2509cb2ebc02b8caf35c7aae19fe2f5203d6a7d918a6d1fe8779e3e63b29,37917564163,0.072817
HNLdwoHRsUSevguzRajzvy1DLAvUJ9YgQezQq6GGZiY4TmU9VDs2ae8mRpQkfEnLmuUKyJibZD2bXR2yoo1p8T5WCRKPn4rJVJ2VR2LvRBk8ViCmhcume5ubWaySXTUqpftEaaURTM6KSFxe4QbRFbToyPzZ3JJmjoDn4WzHh5ioXZMj7AX6xTwJvFmzPuko9BqDk5z1RJtD1wP4kd8sSsLN9P2YNQxmUGDEBYHaDCoAhY7Pg5oKit6ZyqMynoiycWqctfg1EHhMUKCTJsZNnidU961ri98RaYP4CfEwYQ3d9dRVuC6S1n7J1wPPHYqmUBgJCGWbTULayXUowSSmRuZUkQYGo9vvNaEpB7ManiLsX1n8cBYwN4XoVsY24mCfptBP86P4rZ5fgcr9mYtQ9nG934DMDZBbjs81VzCupB6KVrGCe1WtYSr6c1DwkNAinBMwqcqxTznXZUvfBsjDSCtJzCut44xcc7Zsy9mWz2B2pqhdKsX83BVzMDDM5hnjXTShYfauJGs81,af78a3fb49c56d07d7b14255364395618962b7e783db2159540f6b52a2ab917d677a4b73f0d3c598ff0f603b09c8bbd7bbac6aaf01e57524d20a42bd7470d77d1965618dad5e1e08753561a4c7b3d8712508400bdaa167c391e663b87743460b770439b6a4f7959f9b91a9af1c08c22609c88344c1d4d8de157c8a1d479f77078553fa027e26fc3576068c2636e5235f895274c6715757085ba13b363cca772be29dc9f880a1d27f4d93faa62a38b6aa98740f5f707cf869db69d2ca425cd0fb67a4b8bc4837c619aedaceeac9004ff6bb50350df1b5c5114967a37955157f77e3382e91ccca3e4721769e1fa08dc9a2fe8bce29c8c38d2a61cd2d951e377d85ecd84f9295ad61cb5e475debd16039d537b8caa58e3bc7e12576084e8a980cc71c815f0d65aa9a2ca9e6356bbf6d4feb6d29aa4ef277932b9a313a42ca8a9f875a14ae16b6e6bf874effb5b898864e6bc828523a7dc15b03cfb980da12cead49131f73cdcf5461dd5f58ccf4b8722274540f1ec469f10424afdf9045f752fb914d17ba099f0a122b549ceca892b2cf442b5532a24325793f311a833d334d86509450966e4e7eec007fe9959391c762d6ac5e7437305bb977e49df35cd3f7ae5f2793d81871ed2b8f7226fc2c35cd465d2c0257e8fa64fa68d01096ca2889d135a390b7247093124ffc02692ff87510af3d3aba1b66ac0696aa93e1332d8d371adddb2cb6e13e4770643810a2362117d2399fd8b50aba0a139d26b19ecafa70a6ca0b435669e36b55961306c2dbab3734c68c8a1a373899a61ec9f7b41d23c855658459b378dface414811d0b7ff6ecd846a1981b2a5c19b163f54ab5bb54cad83c3f4ff3d0046406a50cb513f19ecb9c17f74048e5ffc508b1612f7155b0d1aeea808ed9d233e381bb0414f1179f637b301b20ed24bf93a0cd14e2f940c70dd49de5ac1e2d756b348050747476a34990ae01db203f8cca3ca0c4741873c3e42bdf9f3753ab5ac953c75401bc79ef3075f5a39b9ac324362408e1fc0d41047149a0cd1748ad08d41cb9c2cc50e63bd23dc92c702ff49af7f5bf01ae61b07d0cc35eae33ef60f54d1c1b1da5d9346df4bfafcef84380695c989ba43cd50a488830823ccb8eeabac2880da2c2116c994879a5b0445ff25fd065fb38e779e431dbb6e3ff6ea0dd6622a9e40de792d9fbe5012d0411c54928d6e3f0344706360c2685cd9762f667ce3d0776b79160b495c8c45c50ffceb50b667d48c27252d2f6591f4773eb18a7168e3989393394ebd4ecbe796d6387f54ac1e805a8539fe041723a32d8aab77192784a339e6ff3e93c6503bffe2fa2b020ecb0ec7ee2d4f5ddca0905633e3f5d8e0a52390c6ae5fbcc419513c62e7eb0db292d6f7f55e4f45216d00b116e8be1f1ad4dc66b5933465dc001331cbfa8e38e6e9049d045e3dcb18688635b35eef8a69ece2c369f4ff4f73b3978ba605e96b9a47f7231aa4579370aa8738ba9a25f8f8adf3e844e475da91e70d2cecabdb507a63eca579c607beb40ed2149e2234a39a646a396a1b83d4b938f34ff48ed5478d2e813a989fdb519b5d506e7ec1dd28c4aad2a0cd794a6261dab3d2ea5d7f1ba468aea2c4faa3052c7a0c8980b182a84710f4138147e41bb4513a3aa5adc41f9c9877aa1b72557510d29c05ccb73a63057ba1cc757bac1a21e1b150c022ae7f4db51c952be9ad0e23134a8a9cce61cca488bb1004a69fc249e0c7d338558cdc7705b65c083e86a3956fb8de60cf148aeaa1d11a5dd7803fc9555434f3e8bf158f4a0575af6bc7ca2536b0bf61f00bb1f5e53fdd1a0864852dfd091752df4ea349280b3b815560f95342a0f3facdc453fc5b3dc9988f75f759e15dd4ac469eeb0ebe8850a199e78b1829b6c6382eb33efd47194743efe63cdb2760843104cc7d7857a4e5645cd68d0820a7c56986d849be62b3949c6b71512bc056e7c9afdbda4e6ab6512ddf80eb374388c21732f8df4a3bc4951905a89c70d55f1a56a9cfc3b36e09c9b270aeb87f681a9053621e361c0f0d95c95ce06dc5140abcd82b0eaaf130b4e52cacf36aafa37f53eb52cd7c5ac3feb86ae73bdb50ae3ca0b2b143510a3df80fce30596c4f4327dc45e62ae0ca56b5320eecc5e0c8fa66b6b0b75ed3af9e2f67dff4ed5d0c40741f635852afc462245a87147b7f6355828a2d20936211d94e8cb04f22e1c1d252fbc825390f4f77104b564dcce4a1bb848cc2953fcc2f80e085d1c6439315216eabb42b9ff9ed698c83dea3f1ac982e122d4626e2df87b38d18fb6b32de48c559d8468a434681e6d91e33a34aec7676180489d3d25fc36f71fb3b5dafa94e3f43e0f1233be29d67e1d9a03e32379b05282f54286f46e531e15e6e490e014389d1d216b6f9103c5ffaaacfb7fcd008d964810a8440a508a4f592bfb3300c093c1cdbdec8ff1a57bf53716b81f2d66e9b8d6f51c11da4f42ce1a21be6191393f154cc8a61653f00756663256f265aff6ff817d9a6b5240f3918ea9ecf2eec5ef33a29b6a6031031455c6ac012fd54345dc1a1715b9e8c3998b11fdf1061d4504a8f2ff5d189b928e1e261d28c7bf46620c34eb728b121b71077340a8751736f58c40c3360e074cdd720ad0a87969bae30cfafec17137b25fcc41b12a3384c374dfa3e20c023c1305438443e4ad9bb56869b88429cdac508cdc3a4a78127c1dcccc8d1c600bb7f9812928ee7e96a8e3f8f3805b528bc733971741e7d393f4cf51e3df934ddf92d99a6318518a844956f3c2f53a86e6a35ae7eba0c9db36eb81431e2a2d32111402076417bdd7960c5bcebb669bc1e62b184ddef6281cc7c23bbf977cef0a78fa0711d80ddc7dd847cd71a06b76aad4e9ca1033c929e19e8271866b9b3f91888b805322df2a1ec3416470bf8f4133cdf97b18fca42a5a80630885051721f1a08dcd702a3367f0b03ce28f27d2963945978235855f545e54188a9d240481b8506d3f23caacae7cae56ab93c1cb2b96f2104500848400f62153b618fe21ab3014793bbc926da68931b5a9a66c9f4bd2a38e513f342672165cb25ac1b4a45581b69212870a8465e3b4828d814df3fd5565a9681b138b4fd25f2619d5262a340d8cd853ee0d72fcab63ee3f622fe1bd422d496d8a29ec72754e07ce7c7b7976de09de9c86d589afac2cd83f40a322239a7ea75328a0396cd4f6618883722c1d774ccdd5082f78247caef25a8481a21bbd90eab9b960e2dd1f1daeb7210a65ab28d860d99ffffd3814c986ebf6b388e6d84bd406b3dca392a9ae8c668dd02d8bb506b5d5b16e6072727576cf37fca13764f447eef7490684795a746b34d928bbec63147ae393e6efde88bb4940343703ceb29578a76f0b68792d68cd950143f0a801d5e7feaabb280b672bacdc2d0ba1c7a50c529e7e15864f45212390a9072d751b822627dde3efe9a0e073e6524856a96a740ad68a4592f4fb4ed7ebfc9050fa4bed9ffa93c674bae89af6d4c755e462b8a80989f5198a06ac8a8d97e2d39f382db75720b0a203ff73d24343c6d7522ede8db7744a4c90daee2c67fae180707608a106500e68528de8e648dca2188f91247ec895e90b73e98eaddfc8babd0c0806aa219f94925e3d9c2ef50d7df5f684b0aeccfa657c80a127e496f361a1a0183b3350bdfe7fd75b366b0686329443bfa266408ba4de8b057416d57d876dfc3bc7d2b5565470b29edb69c98de9879d8a153cb59fbe89706cba9e7cf4221defce45ba1a4cd6874f52eb2a9bcaf7723b1f742afe08a0d243fe7e6c89190114c501e21fface7a3c480ba4f4f8e449309240f2fc837ed447a4f108662297b11aaf561b82c058b196410e47bb8f93474bb1bc9e1ba04d81738cdc672bc2eb3f67ff606dd2d479bcc232303d1c8dda38446d26bde2d6a09da2866648b0704178e989c88e1e03214ca5d85696413e11e0fb5683f56ed7475b755e02e19279cbb35e06970c9e03a49dd2c1d24b68d93d044b3346de6bbc63c3c8dc743b2ac4bd5ff80df20e3d01b0f46e685cc9ef2e419e80fdbc9d3b8a5ca07bfead4f6b8e2717e3dbaba0d897705a6219bbfdafd62f46e6872c0463e8a84af00c86ff59ef20c7cbd431cd8cd61739e2b4282a801c3db37a4e3ff300dd29a93565c019f10c024e0d9bd2c99d2ecba5b6d56309a3bc89dbf5323ddd68eb9a7b5b9c8315f9ee9ac2e9c6456dc4bf904e7d1abd849d99a29bef47b098a019d5d6bbec8d682d0851a92c54bccafbd58edaff470e9a620b02d339838ddbc910a79071659d49f6d90370b7fdaf807df5824a67d03e7822bd42d509d68b3a58afd31829eccbe2c15e35384cbeeb36da6157e57e8d910c65e3b7ebf8b03aef0c1e25f1c33bd356ffddccf31be2948060acd3eac4244e2f388cde82fde6f33d3603eae31c810bab90aa49b1e9708183042e0a471c347c671a559f44841be2df3da7d0eaab50b52c23e76f4e7d14527117a848cc7b211277942a65f1264e9c18a8c6c6feec6d044cc4f2ac9040a206287fd9f1aeb51481c870567567ef36ee47e004286578a23e20e1d48c258a529263709fe3e211f94bc6fb66f6aba5f6055e850e5a38e07d27e67f8c08b2a2c6970d692d0226290af844cdf7af83b12178bb36cf507e69b15c31c8b817a03e172c7f89faa23a4c266b39f106c966b6d10b6b46270709728b1250cb3d5544ddac76d8f86222c4a7dc57c3cb6023731a17e4fbce27733444d4f6e3e21f709dd138184c30492e67d4bba9b2b869b219ffbe83f9526b218122cccdb5be676427022b1b88912db3003f6e398ad933183afac35aebf88529289c4c3b7d2e42c0bd2b3cd8d22443c38baf96e8386dcc93a7992d4e32bf0f2ca7673d57e793946ed038bdcec5cf4d80084b1abc582ab8fa90e4e49656a4b578f39d094459ba082ffb9bccd4434aba5f7a2350758ee44f864c272f8c464f9fd9214b30ebe65cdad4e82f7e1598e5d4f6b79aa72f16906f11e85b40b9132d7aefc1937fec1dd5d2f0b77ea0588175d871f2f1f2a7e3e92b5a25b2f48c02a1cb1e6293f2136d97483c6d0a3455293a424b1cec1270e0ec6894a87a8ddba5694b4e624f2c136ff6906fd775b999c4b05650a4ef6d98dda5cd20a1a841614dc79827ac444d74bd967e346a3a2d964785403ae9359e4a14c5bf1129ed98869b611508d1d15d55fa673361dec6329fc9d035f4e69de6f0ef4e5558ffef63422387e4ea2660c479bfc2649c49185ac4c72c0a9381a7f57aee8499eeb427b6d7b18bdb7223459173816878bc4b1e5437551b3696b3ab5b113912a539e33025e1a068314d154cd3d82c4638a62f6ad7ca7e6cc49f845680556a1cf6db928b47f72e0eae939885545d749855df6d4f8bb8abc0c7c5895645347d2f5d301ef85057049c4c60c1a1c5e0145d549159ba1d9308d3adbb41ece7f6d544486f418db55e253e3394ba9378dfab305e9008352d1218a3342f0efd89d1e30f6d13a4eb13f5bdfaefc3277337be9caac935d05d3dd4d52f8edf3d1fc87095a3ebd8509e4781a4aefa30dacb200d2bcd4a39bcea0d70fef93dc78c2519585edcafe573236de2ca70bc1965755cab16116df47370a78fdf5f8ce7776399ed30a8776e11988c0e57144b22f8fd94ad29d4f7fcbdc6c72098b567a2f7da6097211072efd487d11e2fc6dede0234f1e3298b1e5112f0ab4fbbd2395dc7b232308e4ff71795339d7bb51c729a6fe705ebb579e4ddf81010a20533ce2d613338f616e6a08706681b886477eb99211a3fda1fe76179c6a32268c78688523a7095fda1b303f32f0529e19be650318d657f3f863e8010cae3c50c0ca45dad283bcac3d4e365abd3da6cda043331a33746fb03bd27cf1aeeda877b1d30db7bde6e3a7d202b98f72637ffd23d9691e493df94f97ae5de994b744817a353f75b106fe9f063dd2e7cc28d5cf53637f6dff7ffd0f25cfa36dd2f3b2ef9a052a343a7618f4738dc0c7cddc96f0a2735a1cc5e60558c11e2135fe9e95da3239a3b6ba7de121842c5cddd7489ba610d62b169053312402bd2e842d075321a8c97206aed48ab45780d832e529dd112f6b8efab1dd4f57ad07871001d30c1b99d2b0d1e7b214ff7df06b5e3519f23120009751cf87e2d144e841c23183d032949b1cafde90f691987dfb37002d73e64bc4ae3b8a6c1d90c457d5379d5b50ff17b007f5ed3948c7dbcc5db3eeb36da4d36c00a51e37ec7ed3ca4359762c6ac8cdbea841507e771422b77861bac193977fe69c218b26635ce5aa87ae08c561498926212e21d5623f5de7140991f84dc9536eaabd2518b1e76ae8a15dce8,28413032355,0.054564
9iGaAifbvh9ffnpMqo95sihf9aGCFhtHTtDc4LsYnnWjZ4XpHjH,d714687a66367df61628a8f16d18ee5dad29d310607b0501968263a20903888b,16884895573,0.032426
9gnbZJJ6AcTCeHQPibJUXVZTNycpHcEJmGMF2DzVDPpSSyRcpLP,58b2b23bce5e730b10aa355527a51553e31403022b43e314b3cfdbaec72210cf,14000000973,0.026886
9gZHVCsmFQ2yP98eGN4eVkmzx6SyRuPV3kL2mjxJWiyzcMBbvMW,203b8b4b302dded71396599a80fc864176c855ef923a0cc5c426ba5572cfe8d3,11889787201,0.022833
9ezkVoMPzm1TZE4DaTi17nmETpTsQcXrWtFnbPV7B7ucRQgWB9Y,7435b01f37424b589e04dd1ea15376e625571ec2cbea3ed273edec3ce6555c08,11250737777,0.021606
9fNNZ5SiCm9ZT6Wn2xYXWcCB5n3tAMKbNCoxXP4YqLXaXYwVLhr,098aa2d9cce15ee8addbd481c602bfc7507e98cc56dccb15fc290142b40b4a41,10048081052,0.019296
9hL5i6yg5ZJAzxPmmEogGD7nY8MYrVWYUCdc2bshbv3yS75krb4,4353fdd4cb5131214539729d6bdcf81476369a981b10c724c072f9483c485c40,8242759116,0.015829
