address,boxId,amount,percentage
9g8vzd4xJZNRFDByX9Z3SG6REsYJW6Xw7mS1LQMJbSY4o1M9cPA,d74683877fc70a78dd7588f7da0f61aa269fe873b46ca70da671ee544356b18c,38800000000000,0.388615
9i5XrQsSBPnDuQ8nhboQyWVk6HZ6QLqtXHxjjtbHAkUVvopX4a2,ce368e850822f4826acc97eedc2f8559fbd8ac0380c4ddd5d8445f8aaa2e56cc,5363000000000,0.053715
9fbZpKjKanar8LF1uTXXkjmgW6STHSjQUku7kBuRYT5LrfSZiF9,6e314a8371c01ccf1568ebb4eefb1c0e06328b5cee2e66538c5d3e88e3eb8aee37bb916534dcbe779033f1fd6b5fffcdff7059a7954957fc98a2091df6dd83569683a1a899228c4445af6f99eb3b2f60f7c7e867b27b0635d7b37ca7f31937082451246a49f0d5a6405b9b7483aa287808b0f9c4e511c86177d5bd20165e50e94ddcc9ea67934bf65809a8710d633323ffb1e8645246cc992bfc903a598a6411,4232771762311,0.042395
9iBGjjkVsvMrRKMUEySqVjVobTsaGudAv5CMpFxsXS9sYXbZ58t,f10f08ca8ab2d094d75241a1abeda44434894898d960094dadcb240303c1f174032e912282d6f6f6c91a9607adddd93461513895c83b8520489744042a350f27012d0714ff1d94c3f5a95627157363d783e315b4350433a5f3e242de74d26030,4142235553055,0.041488
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,630d50eabceab4c09e3525302cf2abbb6f1803edb20bb60d96c7338e31e9dbe2,3949878547278,0.039561
9f5jDuW4yrQp1pUgjR43QJJBMMTuQox7HL7zXYfsZn4svPchUxf,0c1688647de5ac6b913326e90cec0f67c7373c8662b56fb28e9af89effa04688aa6dfa814cb3f57c1aaaebc9039833c76cfdaea1e86518581b0b968af0dd70a917dd5b4815cdb1fe356f23f06c09473aab01535b0807f262d66b4ace11694348,3534862696933,0.035405
9hwSnXLVSzXAy4QR8c9g8b1JuBXYNN7VfwdXwDdZXM6p2gyn6RL,67da4335e6b9dd8630a794417b7a2fc88cf4dde2fa9c64bd3970ddd37a4cb55f99a6efc01170e180ebf227f0a461bdf180774996eaf49bb8652014666a0fd6ef9fbd1b502e1f86d94024c7b4941def25c5052df53b84913798e18da803793f47fe8a0e5386fbc2e54022647c62017dfd3e53ab92f42987a42cdc4c285b18d03c49c9c5f04c2de37e7623b5c9413c4515526216513bccb20a95a3c7db3bd719897cde073124f89067cf3d4eb35bc08b11821c41d5f7e2aebef77c4bef0caa78d9,3350596012811,0.033559
9gAka8AUKrhe7kpyTmnrMmqQmb6yUFPzrU27eYSLzCTNo782tiq,974a5d5577a291cae6a97d78f453435aabfa0efdb22a59b969b657cf2924226655e0018b5a693a5274b9185f6d369a23b596df79f56046808e78316376574650eb3b809e88b912c065335dda3cd5af41103aec216dc33fabecc1c749718ce707,2212368460999,0.022159
9fricWPLcPkXrfaoYnnKN5V8CA5f1CJ7mZs47aKutY7aeJ9aX5a,987c60e351ea5add56a3c7b6e1baffe6240bc8f640a02d5ecbc32106ba200331,1850054744623,0.01853
9gpszPFURgcP4xUoetodzkBpCKhPTNe8f2pKhZftqPpwxj2yh9q,3ae9b7a5275d03b0aaa5d54e994a5655e5a19233ba9cbfe884da167d5a9c763f,1809623448447,0.018125
9fBmqK6sJoUFMYNU4SAkuv33bP66mezAcn4Vok84ApYRdfGYbyY,c12aacd30248c48fbe1d40c59208b8af4b9a9142500ada535fd435df1b83c04c,1734776215029,0.017375
9fRurQbrdw9qsyMR6fvSHMDWVYZMMHQXBtTsjfbbe41X4KuFrTj,66a61114d2c498e3480f2fecda8c2f8160e0c2fb8b8d757fe69ad5ab77c65166,1619522031900,0.016221
9hmS5u1Khhc4PFERTA2dGzSkDuwUrrENQEUAveF6gHj8xCi9qy3,878d1ff254fb0f77ed74857875e7781aecc6313e7dcc2d25ee77580cccd1c0cc,1248255362982,0.012502
9hR4mJy26bb28A5xtyNVGo6FV7XAw3pvDLXZNzRn7cnonsyL2x4,75293bd4fb5af1f6e29fd904ce38ba54064e656858504076287802a6dc02db88c4cb7a53f30e1473384bd5ca367e4fb202b842ebc0c2e548d2e230951dfa50f6e20dbbbe4c4b8a44392870b47a14c446bed422f23248a34052536d1844241a3d1e13f77aa093bf01e0b4b329417a3e5b65fe0579de53eabf7a9e73007c9e897eb57b3f0c35230489cf57065c49cdded438967e19f3ceadf539c5c4de523e09571a12aa0697c9a72d58d5f97cb0cd205f90bd31cb2a59753e720d451eb4926d2c6cb6bc6fa6723a29657641036db25b92f841b716d6072ca57d362273a70ae783,872906909689,0.008743
9fietBccjHwLwKLS9W11E6AvmVZnNi84pBHxT1z9Fr9x1KkyBJh,0e9c01de4077e12f42fad7a97a700a18fda96751ca77771a16fc9bef949173b4,801436813521,0.008027
9fnHwjPmpY2TaSsfd1brBfQ78R1MnD32p5J3u1UnGU6qCA35JJa,61430fdf77e59f5dcecc4d4f2632a8df45c0ae96a0b3b4b4a29b62e10ac013688ef822992a57069f3f973d488083ff9fbad19ba5c61051c542cf55ad98ee1b3456390868bef4a9d4177a0a5579bf25897fc0aff7a8bb67c4553ce32ba1affb6d,800264823856,0.008015
9hxcSZBnwBtQSmdgZ6bsKMJ5cS9xpiYdQe45wQ2uNjM6q2PZDjC,d372d3d3049c940876039721ad23ddb2ea72facea4cc7205d178b3d69683cf60,724295488959,0.007254
9gx6jxQkz6sNgEdmcodykRsAcqV15gSvXUdvuSnsXSSoGfY6B4b,361ebe62273f23d887902c21a7a7b5459eac4eb8ee936613d93af6909e43d0936220ed55837373f8aa8c0810b79638ee3d1087ec0b62df3787a25e1a8c053b0493b625e692f4b6f6938c1e4d30f66d1a402d45a02e1319f4ac60925dc6b93097c673fedc17b64d7659d7a0bc17b7e7c0fad67e0a1963ac19f80bd94d889510dc473b2c4acd6387c6717aebdd4127b563f3512bc1861e907ad90618f470860c2d3493c030e2d3b59f67ed69847bcccf418862210513fa0753a84251297a7c5418ea60ccadb3f75361d2735c4c8d73b2fdabe847de64e76596f12c70ad3e3f019ab3b4920c5e4324a0aed2407af38c8a08ff8772bb3f3178032b2577b6602ecf0cb160fce63ace1169cfed22bfd325d4a4b52306dfa522c81ef400d649568af6bc,650730639008,0.006518
9gijsXi7ZrxYRo5sNzd6kDapFw79Pq7mvvVnTYJ65z5EpiQwoRv,4bd0f1ef1fc9f58eec8990452e73d2453f92c7685c085b361431e08952ffc04a,635850114525,0.006369
9fgZUDHJiWJ8RGULNdPABkUdnaUByf9bLdNAfvpiyqFMiw3s74g,1cdf969cb0fd7802683bd191d240f6ef107de708f647e6e2235e6025685c0b0ec0928c93d24e225ba6e54c9cf462aa64e5fd6bd45d020f5d73c5e3e283954940678f9991d3732d0515fd05bb3913600a1226bf16c5320ebb1651acd5587cd0f2670161dda5319187309eee0fa9a08e5650aebb54291be27d40ebd295f24e1d92be87e842ba496ac6227c8a83f4d4ff126185c2e0d73367bcd33f464ee2f45b37c0288c85af429e04513106e624c781aa07d42e611b239176fe76830472bf79aed8bd4f416cfc6ebd2c77e91c194883248c95f063b92a8e8e6148709be83306bd,608360736718,0.006093
9hXrJcHszdfUHQiCTtbFdRJZm1PkQwbXKuJu3JeD9YdNawdwqCB,2bc01a5bbf35048b3c54663d836548a0b58185ea38c3f7fec277c2ea7da5fc3e,607150068882,0.006081
9fjtFDkVWQk9GRnowLpuFzhWMFVAfHYH1acDKopgxJWveZgcxmn,e6d8b1e87655e64f513c1e9a2f2de8847d2fc103ee128ad3542c791005a05a96866cd1d0e6243592978d60dc6faf6a6e0d95fab1d242de51d5b57353613b6aac40a10e32b68d377a90877c97f6eca9499bedcd79db891bd96ab8d1d176a0aa9a,598363969804,0.005993
9fh9wm3bPkSGUCfdys6byntsKqgU2tHP4LgNZ49so6YhssCvJUZ,44177c8be7f87f455aea9ea061cef898fe610a819b8648c79e293b7bab8a4c9b,593487208055,0.005944
9hz3atLy5fVhSYueqf5ZicPSm29K92H1zMXeH7MQs9bMdVgHzFE,3e12261db5274150452ea9e47ac2040d660e9c3b2f62702699d7157fade767e2,550000000000,0.005509
9h5U8CyWTA3M6mmycWPy5UZANoxtetedCPu6empd52LmB5j2ZLD,06e52989ee73bfb5bdfd67996de6b8a7d4689be7eee31d77d102bc50f51083903089303180ce5e4207682d2d83c84a20725cd99e16bd30156fa0806934d99f8c,538329792279,0.005392
9hgjLrKTevQqq62a8y2CPEoRsBHiWyTBHGAEWAm6xhxwxJXPBdB,831b481547da0e4628977bc904ef3bf1cc4a8dcc2a1c5c8d2d373393b0ec1204,520000000000,0.005208
9fx3GKmJYtexVMSBdc7VBpVnQc24xdDjLFszxWjtEhiSM9UskCz,665cbf6a05597ea32d5989978b0fa948ff005c222ee70d294e5117fb916ac8495186d68fd38f91a1c3b6d39828762db94330644f67d26bc90a5369d9a4f7596d1fe63badbe98d90535279722412cb63d9258d6244666c0144d420ef39d10cb87,505854571000,0.005067
9gx7qT7MaKvGGk4v6QynVjhCmoZ3qffbyXUrvJAv2BG6PBxU6sA,a9349193fb3bb6757d39e2b66f62e4310d0d3159abcfb280bc4a02955e749592,502000000000,0.005028
9fPyRoPgagP4KHjauSPENwakbSdES2SvRzrhTWVGcGRpbnmqfXT,368696613b81712334eb18e60d54ee96e5f67892a4f12488e74c827026f66a55aa4839b9f04969dd4ef743ef1932f25474c95b10ddd44e81dddf8d0cadeb0ab4ba3bf2c170bd5353fdb822f714b7ec6cb7c7ffcd7e6083e8007216c832e8587083211ca594cdcbf8e2b19e096cd75b992a76434e016d5573c416fa00e4f442e18a83b4f130bed232a8d2849e03101363eb47a1744ea4da966fec9644f2acec8fd91677044cbae7bc53e5d9e7cbe3ebcd2e635e5ec6f106be76a0b0ea29f8d58b,485515561000,0.004863
9hhfNoAiGQVUymExKXEnjYy7NCQRHRALxyzM3UCYYricXVCaRK5,83f642543d6a7b18c3cfae3b8075ed7e6aaf688a4a2794b2d72565be961e25b95fb5ba7f9508e971f937ab3642c8188810305ac89ae0b21dc5dbb1bb40f5e6b0df436aacc7609b7a1f9164e831923a89281e54f02f2c112aad7003d121aef721,471684577328,0.004724
9fCCBqFyBWiCTHsGtk2MXG3epWmP2HicvLyBfAph4mAEU43L8H1,bdd7a6b1b44946ebac55c1aa39ef17fc92e07a0837346f56f16cd048aac9bcd3,466025420837,0.004668
9hxLWQR1axyQgzkXMwUfNaPRDqhm6GfVYdxYr1fw8wcUFjo3EzU,c100a0ffd293d7909f7af7906562525878af3e64d7ec4b8998756ffccd45666c,460991068631,0.004617
9g7wnNUa6tb69Rr3g6SHv8UxLHUjD2Sh4zwGEEdHWepv1EQftso,62a22ed4f502d6d5728cfcb36e01d1f2f576ebaba211cf888a449a03f6b5e68ad978d2fff0f99588f06c46745580586e005e62ec64574b062b1868b266d91ce6,458770607963,0.004595
9fg1ujmn6gK2vis4eQrBicrH5pVsKvoJhP3iWUsG9PK5Tba4EZ7,13513004f3ed39cf8a6afe8f6c8a6bb5edf1e6a58dffd387b861a2d7d9cd3ac0450d8251df5454747b615bc0eb29b2327ef9d23af9b605bf175a9e26d976e84c,440658271419,0.004414
9etSagCdmiGriThfW9UvnXhagiJ7kWNVtTtUUmoQP1ckQY8RSNB,4b62dd7f51b3c96bef317897697daf4121fe7c23cc75cccef8e934c93d7d1610,392580480505,0.003932
9ekENtX22b97cz9WwSgB2Jhnra2Mj8he37JZAh46xhNRiE7MDeK,7554ab7e590c8d1236277addc7d408c75e8caed50791ac19ff730537d649aee17631f035770f7fd2ab142d0826a8073b728a569ef1132a89a23da833044ca44aa825babbef2dd742695f8ea1159125fbec182688378d045332ac4c3e3bdc8f45,388796062753,0.003894
9fB647dNDfpDWM3r1psxwF1vDfNNnNBT1wYS2NeNrcG27yNP9Z5,9086b92a6ca7c1c1219493e980ed101f247f12ff9ba1c3fd7d1b8d98b271baa8ec3a5e51fa91312a9ca25999ed1f014726299d011288cd98640c842c393a99ef,317125993534,0.003176
9fusyBX649JKKFEEhHchTUosjVBR1B6wyjGQeWNYY3yDP4KQyZE,d69b7534a2b83f7073a87b7b53cb5fe7840b5824bde7105fd2080a513fdf1193,315329446872,0.003158
9iA8cp4NReXX71DJp8AmjPAPY5w3JQspPtDSTFo4MdJRAepZEjt,68f2cd029691d7cfd9180cff7c5b9373ffc2c98c91caadb369c25f47823bd3ce,306000000000,0.003065
9hiam8sAT3F9QZJ8SJM6fEhDFqnE81ZwZenjrwj1wHreudeWtJA,bb3c43e2b85ea47099eefbc6c456ddaa21108e82e5bbfd7ac00cc00faf34c637d9acf5e2e96a7e8732be1660d9ab161c579f7850fc9b2fe0939330023c1a2faf2406c4f2968f605aac4c65c0087e7766d584b3536af5d25c11c66dcf414fbc3f,302120445000,0.003026
9hkrzEE9TgWBjJn8oNG5FXP5bh5SjaDE6892QkwCfwP3hbXFmnw,a839b6febfbad9827758be24e1a5f351bca7fa58a0f3cdbb7f7242d440476dcb,292000000000,0.002925
9g9b9XdDBrvENHiR86cjVdrJxJ7KBDtWbwdQQJvsFqoTTJ5EYte,544cb9bad4904d2f2ed0ffd7df214a480d690924d06ff4e63e8265a76e7ad037,259650000000,0.002601
9gmNrBJ3RXn3nGSas1mbBwGh5W7BJ7t7SaYiXAFEqPaefESSgD9,293fbf4c6c42fa99c3ba41454570d582b6d4a4872562b7cec56dde7386701b4573c264232fe305d0ec91c64bac095d6a3248aeccff5932777673f77bafbfdfb48771d7eac58762d189f4528608c9807ecad237eada80b107699185dc6d00d092fa7bbbec2bbeed9447bf7ae29989674a60e3e2665fc4b9406c583758563d4756,251448550000,0.002518
9ejXiPsJP5xks3TQdwJtAkFpDh6bsjUpyx4BrmoaY9YSP1GSrtJ,a32ef295606ac7d47c2213c14c77d4c56f5188bf766b1dcc7b4c11151015bf49,243851502102,0.002442
9fSuzs5tQUSaitGQhurYFfHJUBqQ4pz94BTvwQKL37vT81UcEij,640bf33b915affc548c432af5bf1a377dc30c093bf608aa689ed2143d4a9b66a,235497510000,0.002359
9iFsvvPT5948hkLzGwow1Y1HoSHE7Mg2f39gS5twRr8dp6dS6k5,8c049dadbb15d264100f9152f07a388b58a1eb3ca9cb54ce3cbde92715d385db00a3e876bcd4885146b92fe791418c2870f217f5d44835995e8a5f055391633c3b297f9028a15981247a9f8904951234392486feb3fcfa569a9ecca4d2007a7c,223733870693,0.002241
9fUWjobHydHgxTdC47GXP7aSLrsNihs5CJrX1XDVUPJSfaqq8P4,e04d8b75275c84223ec03d31f94cbe87e1046025477423af284dba2140f568ad,222592990745,0.002229
9fF6t67YFKLYSSxouatvwRc2uKNhm9XV3xrTvVz4quegNFKi5d5,f7b4a206051a672a3b3dabc47d34fdaddbcd2b6ab4f0ac0450930fa4742a2de5,217109256155,0.002175
9fPpPP5L9WLxG9QHungiW8odVHYmwkv6SHeSgjzUA6V1GFtBqAq,de34382fef08ad7949da861242f7f54ec15d4a3e104a02c947555d62001944f9ddab2859522820b82830e718844c7c6d8e8f4ee3aacc752898454cea90673b63,212284452163,0.002126
9h9XZqVYw22dWMV34VZaNPKbqywKrwEAv9nJ7fNu9uehsRJcJk3,1a10c93b7c107328ad3fa1da881c3fad1e4f039e139a7074419a4f5d42029f839138e5861aede3eed62db7bcff0d54cb8e9f82c0e13d91bdab4e2cafda7deb31e4d058b91e5db6236e96686404a64f676520d34bc3ffc7af33de84bffd4423a3168062b32a512090277d5175889c3b29d22eb73cb75f490f7fbe81d84d42ac8f,211571261640,0.002119
9gShaLNumByJYJft7CuyS2f75fkv7ssBwZjJUtdvJvqR9y8fv22,4b341e751afc905e69bd90dc0a0b2194efde2ffa6060e54213ef664b41820992,209975282588,0.002103
9hjD9EAXNQUCqa8LPSepeBeXyoH4Yx8c3WCm1KwJysaXXbHLXSS,7f14a27fbf427c5731b3501e04878f4fe2bdedca072702cf23752fb10f8443d478800eee1fd0c7a2a3df598e1b3f30152b7d60363aab7fd94572329b694eff06e0235b1f3668135285e9fcb35833ca8c4130e2808f11e6eddf0c312c49cb4227,206581713522,0.002069
9ffjcryaitWovTPTDLB6GdAjjC4wUo43Nn5MU2mfhH3PqKTePMS,22e6d01ceeebf566183a071f0336a16331bbf972cef609e43025d5ea3cc5bba24947d9e670a33e710e18b9cd41226bc19cfc2e330c7b1670077fad609ba1a975,205288889000,0.002056
