address,amount,percentage
9gJW6LPpEbbzDpxZYv8iLGt1VypFdxRK2BuWGqb8AbAsFihXvYs,863821990000000,0.864023
9i8StiuYEckoVNpaeU12m5DSP8shUtgh3drRtZ8EUpcYRnBLthr,43499000000000,0.043509
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,13737408321361,0.013741
9iEc48X81fRM1yEV7qjHrfENurEMRwHCcU8xjCanJZ8t3z4eUVf,9846852013798,0.009849
9efn6gVZat6XqSfccHHA4pqjTpgmb43LXAf5ZL8TCr1bdAGsSe6,3722887202508,0.003724
9gVBkmuwmiam9AWRKsAxh2XkWZkqFqtuQ3U5EnUoNLTcqyqKt96,3000000000000,0.003001
9edtMVXLvaa3BkGkjpAWMoESLvrEfY5GZk4PTz9ek5ArdNEwkfh,2398400619219,0.002399
9etvJVX7khTiEFeczwot5UHSXAhDVJh8z6g91RTE7N7QqyhsqHq,1961719853458,0.001962
9fo3geJGQMSyUsMgfpAkYueaKrHXN7GBR4Zj76Pb5FbRBPFUWU4,1872720401889,0.001873
9fwZC6yPTLp1553CyeYeyj6ghu23d8SSbm5wrziEm5ucCrAAgcu,782726722407,0.000783
9esDXJprKVz8gfggL3fLW9w2dXUZ3LvZB7eGjpgaGW4jxmC5RB3,750000000000,0.00075
9enonoMb4sSEXe9vqZSBP7p6tLRndpzUCoBLBaohxwDwt36figi,750000000000,0.00075
9fzbyvP3sNodctqbPz3meL1S9mEscpSirjrLrxCS4Hqwd7kBAYe,637505319412,0.000638
9efNRebCi4UrxoVr6eezkyNasaFUbtHsnxbwco4oEX7sASrcjCf,634408982028,0.000635
9g7dMSqZ6cNj9eXKucUonUH3DvKQnbdP2qo3eChNih6AP2gKuTG,625348486733,0.000625
9huuk376se4Q5dHGkMGZK74KcRCu9usFnkwDCeL5zF76yuxJNDE,622765160604,0.000623
9iQKZ9SxHif25CRYT5AfHu39uHDqniyEBRQUtDX2FNC5G6k5TWg,554114845015,0.000554
9evCWAaTVfd3a6QnZcr4oSCES9CcyDxDmeSoovt5n79W69qJaLW,518846525834,0.000519
9gRZZx2Ri4LEPgEEjgtcGAxMHzigEwzphwSRFhFmJTNEVFuC7nU,500000000000,0.0005
9hjUpUtAGwgricfV3aDs9pkCfea7uTaN2czwadbJU3DywfLDfmJ,500000000000,0.0005
