address,boxId,amount,percentage
MUbV38YgqHy7XbsoXWF5z7EZm524Ybdwe5p9WDrbhruZRtehkRPT92imXer2eTkjwPDfboa1pR3zb3deVKVq3H7Xt98qcTqLuSBSbHb7izzo5jphEpcnqyKJ2xhmpNPVvmtbdJNdvdopPrHHDBbAGGeW7XYTQwEeoRfosXzcDtiGgw97b2aqjTsNFmZk7khBEQywjYfmoDc9nUCJMZ3vbSspnYo3LarLe55mh2Np8MNJqUN9APA6XkhZCrTTDRZb1B4krgFY1sVMswg2ceqguZRvC9pqt3tUUxmSnB24N6dowfVJKhLXwHPbrkHViBv1AKAJTmEaQW2DN1fRmD9ypXxZk8GXmYtxTtrj3BiunQ4qzUCu1eGzxSREjpkFSi2ATLSSDqUwxtRz639sHM6Lav4axoJNPCHbY8pvuBKUxgnGRex8LEGM8DeEJwaJCaoy8dBw9Lz49nq5mSsXLeoC4xpTUmp47Bh7GAZtwkaNreCu74m9rcZ8Di4w1cmdsiK1NWuDh9pJ2Bv7u3EfcurHFVqCkT3P86JUbKnXeNxCypfrWsFuYNKYqmjsix82g9vWcGMmAcu5nagxD4iET86iE2tMMfZZ5vqZNvntQswJyQqv2Wc6MTh4jQx1q2qJZCQe4QdEK63meTGbZNNKMctHQbp3gRkZYNrBtxQyVtNLR8xEY8zGp85GeQKbb37vqLXxRpGiigAdMe3XZA4hhYPmAAU5hpSMYaRAjtvvMT3bNiHRACGrfjvSsEG9G2zY5in2YWz5X9zXQLGTYRsQ4uNFkYoQRCBdjNxGv6R58Xq74zCgt19TxYZ87gPWxkXpWwTaHogG1eps8WXt8QzwJ9rVx6Vu9a5GjtcGsQxHovWmYixgBU8X9fPNJ9UQhYyAWbjtRSuVBtDAmoV1gCBEPwnYVP5GCGhCocbwoYhZkZjFZy6ws4uxVLid3FxuvhWvQrVEDYp7WRvGXbNdCbcSXnbeTrPMey1WPaXX,8a93f1d3a090c8e5042340bc3fc999aca15b7234393fe839fd5ab3ad5236b755,9997222671853,0.999723
9hczXaHzibdrKyQhDcM9X47vmXzmkC7XpimaBoEy69zRsxLZkoY,250f19d8b1b20e053d13b06c5482305f4a762d63f6971cb7036684e6aa57bedb,338795300,3.4e-05
9i5L9iE5G5KX3r9jj8bZje88iStoLLrrhVK1UAMM7jeBXPLRWQj,c2ef0f204d00aac2595f474d29b7a4fed8508f525ce80bcb14299d9a363bc41c9c7c54ab08726a7302a842dd24a535645c111314bfbef0e6f16d843f1b15163b,202078975,2e-05
9fT2sdaMDkZVeuu4NGMUjp6Qm37QBMBWfKcX1FGno8VwFEW4j7x,395e7bf7235966c23b5a66ee0bcc295f46bd1330ac493c731bad0737a21c8ce6,200000000,2e-05
9iENoonemVDKoBEFwN9yf9jP6SDkqkKQH2k2YZG9SzYeG1qnTFs,cd7c8d6d7f7dfcf92ddbaf04da9e9d99a0218e4d96a8d86cf56edfc844b55627,170000000,1.7e-05
9fT9GzbyZ1RwCwBUvtgbiW4mXJGaLoeM9XxJTd3xKWLVfqbDMbn,9c3c245607cb9931e2eaa30640c9d865acc0924fb25c5723d8ea8309073d1a0f9ab55e592743f7a00e5307a6c2ad24f8c4bf5292dee6bd7e8e38068420a8f03d,131838000,1.3e-05
9fsJf6BAM1eYFdpFBGEjvKfcx6VD2UPqjkfNAVAvgPzpZ37dNMz,db43d66a2a2849b2ecb9035d337019a5189e2775b0044cb8fe3c9f2e337eb9c3,100000000,1e-05
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,86a6bfd7bd67fc8f1862ea2c56ebb21f3c3454c9553729aeb9c775d38d6680c7,97417553,1e-05
9fpTJgg5FpT7kNTwgWn3mSZB6F773MduFdbWhnggXcMemifunZg,28fb485c72e83eaae662c04f4b801d063139b715c0bc39c7ded4295790af028c97f19da6454b7a610343d53ca13322dc3e9a68894c69d261ac567201008c090e,92800000,9e-06
9g1Pjz6Nk5bDhT7wA8mXSQYn9ZKFj6CKquJyKn6j2BuoaWTiSbP,89614583247ffe79feb91281f19fb7f10b056dfdffa37cb0345c61766ca5a248cf25a06932f925c30b41d9c574e7fd85e560de81b9bbb8bfc78bc7d80aaae68fb2cb601e446b83bacf53b7abeb36d1460a5ed0736a111bae1128bfb2088a58c9,75220000,8e-06
