address,boxId,amount,percentage
9hGceS9rTZDDmsnioJGWykfUAzk8ZbCuuadNLvoeG7hN9bM3kNP,cfbd63dda58c2e0d08d6eb15bcce3fad8478e481df69089c8518da1df6629dc1889dac32f34cc6c236b6f9f746efb79f34885c848e135f70f654f594f3bdeea6,2480998,0.4962
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,91491d5d619aebf3301df1f33f07cebdbf80a3bdbbdba202d13898264b1c8406,1822294,0.364459
9fTJjZyxbUWAHzPujHNWN1D1f1845pSkSXSW8FRyh7VakCMds6A,b91b61bdfc73cfcf65a634eac91e2fbe61bd265f6a7ac8dc0b9ba8da6eaf4876,154365,0.030873
9hrbvQghJYNy3XCqFdK6Ci3To4NcrbULt8cgQziBozHadZ1RgPx,68b5971aed4d16ca70b7833e66aa869d05633b4d5780d880725db2373a4bd90e,88994,0.017799
9fSR7xbW3HDrNZboQAufXsehfhig2Q8WNmUsUf1J4G9YWn8too7,d6b9a8cd7f0a4a86817980009968493ad72a6a2c537592b5ccb9272de3639f01ca23d2081d2a8ad16ff651f1b71b3c24790e2b336fcc5b64be072ba0aca50d9bc455bc83f5e7974e5cae034380a99e6f45faa0cabd03a32c5623155024804710abe3d3a2581607bf46cfcb51e797dbd723de0e100dd5d88e40db3e41e0d738a7e8e9537576421a851fde3b7b7064e44000b556bc9c02952c0575c45da955bd84f9fd03c36ee733490888b30d68e80165514a4a10f97bda0e03a6a743f407da8a1c8d36b1af4ed339efa6223fc7e79dbdcbf03bf16d633f5e0d7b799049ac21e5a2715822539b2e741bd64891e15e6002fb2687e371d6f788985164d183ca26cf8210a536855dcb6cce038fbc3380eab3bd82d5ba751611ea3a9735506a7ef426584c64ca60e55240800d558c69d51ee90191be625ea29cf662a2c48c90cb1728,64000,0.0128
9f6eCtBmufrbda2qxuhXBjgaRbj8nvdhH2UTW9T3vYPd2wbNNm7,67825b95caf542a9a8e4369528bb35544cd4e493e23b00ac935b5ff9c1eb10ed,42000,0.0084
9iMN2U2aLdFgMXZDQvHe6caC7NwrJ21BADzPsut3MUU8TFQWsxT,4ad8f7befa78f885e3222b304c6599fa42a70288f6576e8e4dd42477d8283729,30000,0.006
9h84cUWV1D71dMWK7tPCEdve8dCaMy1UjyxgR2GYvVzRScGRuw9,3dd605a214f8033ab389da225c8a81afc4d38972fcf3a1d49e3578bcd5a2d1ac09c9dd833681f937740160d2e1b81dca4ff80307fa13285320ca3e615270bae4f3192dbe0021a679e9387670f95c13c5201948ec7450c21fe139ca5bce9e689a,25800,0.00516
9gnbZJJ6AcTCeHQPibJUXVZTNycpHcEJmGMF2DzVDPpSSyRcpLP,58b2b23bce5e730b10aa355527a51553e31403022b43e314b3cfdbaec72210cf,20000,0.004
9gQP8EVY3UBEpSz4Kjqy8S3rFdUE6g443EKBsFJL31b8EtFUWdZ,1ca8f5d0c99bc19f9f32fb1ce1d81117ba8635836a381f4a39c1643fb0c6eec2,18489,0.003698
9g1N7payj4sMRti5dTQwwqoqyNo8MQqPg27uKsULk9nnmismHc4,8f7843a3c5374523aa08f73581fe66d28c7e560fc7aa9069750636a50df062b2a31ec6c44fee43149e85baff03263dcf80d8198ceda5ebeb798eafc2664506aeba142ae80052677d626dfd06c2d36600b399a511eae5e063850fd7c1a172f3961d836d2986f54aaf4004e64ec4fc316e730d7e29da6b8d563fb37e0ace556ce2b7843d29b2760407cf054da54875f1c939fc318a7e23b04da1946b1e16914b088a0a1a749aa02d0a0b8279c6c58ea81da439f30a00b380afa5d83af1f02efd79aafc3303e96bff6eb72de48f50d90313b6b21d013c20ca7c03d3f56216d591f3dd179698affe30aa34d023e3c856fa7e1ef7b6f2ceb230545cf772dc64e6957ca9f6cde5374bbab0b2e92a67e918d689a0fd01d0ea2c94ced00de4e52bf416f9748a1f4ad008858cfcd9df2db81e06f28588ea7ba491ae79450c32ec172dff88,12000,0.0024
MUeEFF9n6rMZGwhMHSCUToqgZV77SPd7enUFfdMSt9BwbM2eVwCQ44yZjJRqxpgU8bJijkTjNhB7AH2wUM9UkZjHnyPDKFRDMozra8a3ptKsKvQXN3wBzXAwBaTFpdS2WuYqQTP4VzokiUjFsoesobW74Nh51uAqDTXKK4SZ4QnphLpCAVPBu9rEca48RLrMViEzYQKchqzyX2oA7cSzY8do7poc4Y6jPiNYuRbLyjifcNBqBVjRruuZr9N2KzVJWC8eNphZVuYkBay9tHp6qC6BMyN5Pr1YGnWDNMX8ivyrogza6wiJga8rvBSN2brt6tU5pWHpkBRRZYySTP69G5utxvkLKuk26xvvMuXJbW5TuTttKEDCLewsejh5yyijfiEkiDSxYnSSbVpdLDNiuoXJVUW9SS6WVqscX4eyT8EZ4W5QtSjJxfTwR5BAzVmtjA3hTncgXq36rUQXRb6LheHELc9CXosjAu3S4dpso9kRsadjtm3KK5SJAcFptGdPSj5peWx27hHsq1cc38MGLmsR6ayStEgsEECiXPAxaoqVfMw6WbuFbZuWL9crg5MZb4eWrYwu5436HoU1qBHXX96UupiikrrzarGGy969Le1sYEtV77qWftuG5Dne2SX4UCusgnFHwgLSfSMBYLZfQac7FHWQaAB3cT1an8m23DNggWkmM3U2yvxJGXCCy4TVMmkrzBiN4d4jFo5cNDwRixPQVd7dPwFJnKSt4SxaB6rC97e6zK8S3TZq9QRN5vsa8kjw9YfxoVD6Ce8EgPSaZPewYPPJA8XpMpY6d1VencZcYuosZKP7pzcujYCGx6XXbhMEBbRHzr5U1kHkqUK3g3hkYayGgKhrVyqM39cgV94tRzZchwFCneYF4wKJfBFBo4WAJ1iSeia8yNCpQtajYnJWXwVKphJk1PWhkPTBk5KYEEKQH5dvXyhWuZXtHSATaUbVYASjU8BnqQakdpzT27ieJNhgX1KB,bed082da0105e6dddf99b99754c8e2b0e24e4ec41904ffd79064cb78a4bfb2bf,11001,0.0022
