address,boxId,amount,percentage
9gmY8BF8i5WUaaWanuzX4GPBpAyXJttK3SDVdRfRVWdGUN1xRr7,9be1952f0b98d9e7978be6625b21ac36fa087e814b986b360bfc4026091e206a,100004393253350,0.701297
9gMW1x8YnUxpvGCWLbo3SBrDwuCxJH2dVehFL2kDfmyxiZYFeDC,39ae127ed12007b9d30893d861635cd2bff5966005a5d03a989159b1f75fd6f6,4898109810848,0.034349
9g9ZeHo2w8RezEytfcLdwGTVYKxUKKGaP8PVcnJwQprWKkZNJZJ,72d9a38dd1d9a754298e5ab077067e7ff4141ae4f72273fe90d7478fb1e913cf,3192422671860,0.022387
9fLWb4W2t66GWFLiXcm6DivCjiAaVgnS9SK61gv9RxEoMn4nv8i,8a50769e91d97bba654eeddbefb0413eaad56761e8ce48891fb5391bff0fbf4e,2928268330018,0.020535
9exttiFgzjC7TcVYTTPhmMxE3oT8WSt7pPU1z6dXRmjrJ4DvtmC,f505d8ae0bbfb3097352964e8fb634372180f72ade46a0c9fb6a39b0c8f9f2db,2703518519681,0.018959
9efb1huHehiidZ65GpLVJD9D3eBrVHCWhTKxA1GsyRkMNtyuzeV,6961badc0001111682636c4780b34d760253334f405298d1168f6b7717a5d6eb,2489819819681,0.01746
9hbp4r8V6YbWRtQCq4MhksFYtfckQ4knGcgwkJpkuQC1QpuiPvA,c4472a967a5bd61a27a7f3b0e55183c3e7b00dc5fd59a9e4b8f8c81426a678a1,2480181810101,0.017393
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,378483f674a1463ea63f0aa37a20d6410d1d99e5d9d16fe091a5c23e9849f964cdeda8cd05f57f976bc6a9b875e81c7b9c977f9c677a06bd5afccf1c07843f37,2410576095338,0.016905
9fAWbqFkk8GqehH4qt856bQsho2p1ntYm7riiiGyY49AtrKJisL,ebe1870ee27a5f0b519a513a255275b47e5dd787a32a31e65a559f29ea4a3493,2190269520094,0.01536
9gnP7JjEe45pbbcdvG4JTuGn5APNYh9yg6r8DAGfrzQC8HFGC75,5e3579ece1aeb064baf922e2e604fc191f9f0f1eeabb1c42b26b4063dfce8c99,2146470524894,0.015052
