address,boxId,amount,percentage
9gJkS86jzwEYLLk6v4dX8K5eNEBkU8dabdQBgKZHCczYxsHfKZE,4442e40f1e799921529ef5472f9dc7b7e6e1829ad02578b217257b66e3f44f4f,12737256,0.130325
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,2d1b573114324dc22021c7f28de48521172dbbffd90354228f95bb8b71850607,11301403,0.115633
9gJQ4hscj362DDsWQEBC1L2RCotHoEYAy3kVMrcbqaXJWXPsApg,c655e8d3ec88ccc9ad09dbadc8b7871546a0c3a1c470ba0134df62eaec3d2d77,7870226,0.080526
9hyj5BeefxDnuyz5hFFavi1dWMwbRMoH57LnNChbjHPf4u3H652,046ee1eba92efb8ac318f88743cd319ce9845b58a869bd75e23b8c2ddd50eb9e,7791452,0.07972
9hmS5u1Khhc4PFERTA2dGzSkDuwUrrENQEUAveF6gHj8xCi9qy3,8276961603a7d1099a1e26f35fc416ee775e9e047d1ad8115aafb9943e066dfb,6167738,0.063107
9h1pyJ88Uc5iMqqJqFPXpR82fW8wALMRaVTuq8yVSGmQhKTKeRy,dac9caf18a0fd7df441cc6cf7eddbb8573d999f5f5013e7820eb52d1f4c2b5e3,5664936,0.057962
9f8PP7mG9TPM312NymR9kKqf4GzGg1LTDTh9mHsc6eMbWbvhVQ1,3087ee60dd175b1f5fca946769edd5387da157bedde2aedc4c6dfcb99f6621a6,5000000,0.051159
9gNQzPtz9qckvqCWuK2NuEJki2MFqUVqk3SMumfrbwyD4oxWgwo,f5a72af044b9c133bcf457691a79e0965c5f093c0d3f6eea917dad870d315899,4000000,0.040927
9gERepd8iV9WYXZzmVhKbFu6sjxc2UMTLJ52LBj1iJKqpXaM4pH,0b461d36c56e2671ab0c358dcbdd9589fe260816b2b7795c440ee7c9432dc674,3000000,0.030695
9fSKUtyLyoK1MSbTCud89aB2PGNuvL2urTeFACfroxHdGoh7Zpx,8bc3bfec01a65c74bd880516b9d7092a142050162bebf2549e40dd49740b9840e7dc964c126965007ef24da86191c7251ddf7893ff2219a72e786340989cc6b5,2706997,0.027697
9fkQVnQNg9Gu44HG1d8TtbyMx2cJ8tTeQNU63ttrViYjeDNSsFg,106d58e61a4a271a5d7a95044073fc4878c1264f259210bf0654f14f32d6581e,2540050,0.025989
9g7kYM9yFrEPqBF6yvA4CAv2CPJBgRvNGjnqcceCt7CTEXwdvjz,db5c2bfc1a875c78b4320a4e4c31aa267bdf7fea05cd748fc4671934e0ca3809,1886597,0.019303
