address,amount,percentage
HNJiaJVyw1qtkiuQYxDTjaA8rmogotVzADinCt5qqavoyoREWM27WAp6f9Y79meFcMoJLt3yr8nsWC5xU5474ojCxE7VweGpd9sLz79VrSiyu7zBjBXPjgGLFZdJAEJhsH8A4y924MVZa7D9te6t3FUiLcpyTbrvTBhD7SpnD6hUjbGszCEGf1fRX1SmWZikeXcJEkfej42dPRimT6Fw423XAc9Tbeih8ZW8x7f5Y7y8frF5kxEdw998JdLU6UzPSwhrDjfKhySqmssQeQxCFwb19PMCB8ZZtx2mGwczr2H12Yi3hnEWn9ArqRqKWip24pJgm6e4Ky7n7BzGRRTmDtcA2EGH3zEVzpRH6aNSHE1MJ51dbCZSNFnRJfk3vxenkSevCfvEMfn5KyQP9wPU5foZACuHX8TQXvVUe1va3HXJFwCm74gxRssBy61GcYdwVbtxykPrw3t6aDX7c46BejsXvEaz5Ydcu7U8MJCoYia9pZ6zkjAj8d7Su12DMK1aLkBxw4vY2zQYc,44999483329825696,0.999989
nB3L2PD3J4rMmyGk7nnNdESpPXxhPRQ4t1chF8LTXtceMQjKCEgL2pFjPY6cehGjyEFZyHEomBTFXZyqfonvxDozrTtK5JzatD8SdmcPeJNWPvdRb5UxEMXE4WQtpAFzt2veT8Z6bmoWN,342161631217,8e-06
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,78885797302,2e-06
9h43QHFPrPCDVUeV4ypuNRDdNETHYLXfy4e9nYXXGkQzQN31gt5,16824527827,0.0
2TyjXFFfy78u67Nxs5Ls7LXkrVy8FypSxQjFaAL96yU1ChooCXiNcisLhgsBVnge1z2FGzxjDpb9zRf8i2fqtqwfTU2RjPAiRXZshG3kGTDngPxzBZrHWYZNc2XtYi8uMzpxz81wMj6kYbwVpHFJk4oeTMie8RTN3AcgJEEkcZLqNRLo5ZpM2qzEYHyybUXtmiDmdewkjGHRQr9upg1aYMBNRShmZUAYcbsS9NrvetwHdDuMRGfyiy63b4WCP89X71ENkFEQ2UyBBtjThfUxBXwnFwBPhTY43jv9TySNH87DiVhnfqaQaakXVHk18zPqd8ujDsd8Ge3KnDuV2gxi9iK5LdRAsbAGoMGHnL4vvrPmYEt7txEk9Cv7oTsEagwz313KhgnL31DQErrkNhGxesmwZdqHZJFtPetsF2Rdf7iJM1pCQhxFtReYWnawLPkxmMSpF8tRwVPXZVysBc5cHK3cMwMg4dAyWyPVvnzNcjYVQqPRs63iDqcScVUZpY5kKCRg7qKMz7p4sW4z1bUGC49kyTc7DzNNVSneXb76D5EkS99xMkyPo3npUAwXM8BiAmSAYtEgSZAMB27eQQVUPjT2LmaLkutHwx2zkPkKyjcD68D3UHY47ANemHf93yw6K18Z1GKxiiqGqh85SozPxNX7buR7r3ig9d3C9wZ9zzsKPABTfVw1QDJVFXhVvrXPbc1QwzbDW2wUQjSp74HKrdp57d3mBhxLngzvda8pzjrAK75fRnnpeVx4Tbx8zvtNoCbrc65QjrE7WsKyvTJnYsZQ3HuKWpAfnSicptH53GT2bA2mDsySAmpN5Lp2NJt7wmxVfk914QS9hZTzWipktyvwPnEus2jqqZgCAD8WLkWK24RTjsiK9q6Hs6uTt2z8uAhvtRc5vjG9AbHCfCTX15eRrKN9JcRJNGtfR3tS4QyVg3TEEwShpANbRWTWGpwN1rLKtGUYbEkr8PoB651TjM2pHRwykCKrAHHpRR7s9QiaHkJP9frKnDP8FYrYfCYXuBqShQa2kT1bh4bBq2bofyACFt1GGMyX2gmPzVMTtWbpq1MJUohkLY45f1rqWcw3YE1Co8aX1ecgJqFUETYkde74kyTnbKQ9NwUALY3YKGMTghsRe8rrvoXYynmzJ9BV6UnuYC14Gb3BM4EoFgNZJZTF1ukWAR6zZfjXdRoi4qwrB1Nq1X9dB5dWMRatPn6ADBVZpJGXTC8JAFk7ETxeVr1ZFdpFGeq4MzQyN3gFCtRme727NQQcPZPJMSnuJMxF38D5g3PkSCwiH1GQxD8nxLipo38dinpThdfCffRBEpX8fjH1fxKHvVHm8qEyAMtoZhf4UunZnXvbnnMbQamoNyDMfm3U6QjZtfF4q8ku55yUA52iK6yLS1v2dM4tveA3n1C1XyTUjoAdmKcKcwnugMmPqHEPw6E4hFCM5FFzksojFY7aFgMur3TqepTDKroTY4YQq78CEdyGhrjCikXkA7gw9kFS5yFQCy9wnNDwaBQyNJJNDnvFVmdb9hiGHZdd3NKaHkE27LQpguaFtDNGLbx7Nt8L39cD1NsuAbSVMC4Qj8ERyQR7yffj3Ngrcm1anuZ9a6gQjbQkhSK7JqHvKzBjSnJoYwvuXsMtighATbRF5sawCboCwiPpYaDztBLZMERL7BZ4dpmoNJj4Vnf94nXdtP2SgwGaJtkpKC3XMBfiZfqGJ12t6yemEgordAc6cNRvnYVDf6uvUhJt4j3WMerwuiFQUt5buxde9JxH1wwa9HiEPmxKeh,16368096326,0.0
9hwMoqKiX4hTbND7H6YtSaYzQGEhKPtJ51oudXFmrFGdtcqZmzi,10347980787,0.0
9grz8afidAEeHtULZiHg4sMg9E578MNU7paamVWXCnWBqQTQRSc,9141898576,0.0
HNJiaJVyw1qz5jgKrEemNwnJd2Mc5FJgsNTDMkMrx73pVyxcinng2m8cDyMktacXQjvBsvNoMxucxmme66RPeCAz9bV3fPFYPo4umKZVwkQosRktScyUvQ8o8PPe64K6fu5iFVCvMbjgi47q3CBQS42e9xDNa8xwVf35a6sL7sXMzDZVfgbo7S9F1ufKhDgC4nFuxucyJp1Q7TXQifbuorHEfACknKoXhyvS7ddHBXPFVdrDTWpi17HUsgZPZQGosjUjkHWHZRuBv8H73JwB3ifA2R8HSriN2xgNNZWE4sWYhvVdVQ6UiXxjD1yqKwABKg189v4chCgTFNd4qy6RVoMVJs17Fe1vxRN9eaMwAowi3ok1hLGjMSsinxKY8vHkRdXPTqLyUTDQVkZ8DrDfsbdoDYrqpybrUjsD6wBPGpqr13NqFbyW727FYwV8SoAnvDRbkcZ21EQ8u4HeYePgDdQMEMwqzqRUHgVY3evBtPfEELbQphjVTm1p5FkRcF5yuvREj72oG4xt3,8466446258,0.0
3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,8326147709,0.0
9iC53k6BXGf1qMNWkK4ETRy5RuwG4ssk9gmkFAfiTNAeRYpdSua,4974500347,0.0
9gjgGJyiiGAqDsMDj7WVTupW7gVfXns8rdBr7xVKAAxhFNARbvL,2174980787,0.0
9evRXfmMaf65dGR3GMiknguzfG49pbyzxiqCebBLahjA6VCEzHE,2116551725,0.0
9i1ukP6wz4VaDqJAbhmGap1zJjucTSTdTEA8Dwr796hHbqUpuAW,1998332251,0.0
9eubme9mXMZjjzD2MMjHGfZf9QB7cxhsMbEMF8MPukjU7k7Wxb4,1614980787,0.0
9erH8JXgWkg2MYp5Py1DCz4C22VvFJtP9Ap6ubYUdP4hhFJQHK5,1309507670,0.0
3sSMhchmLyLLrbC5FSUUzrphjXTaPy2eoiKqd2vv2ew8iHWMrYanfEm5vW9KoVe1tEpPoh8UsPepUCySo5YLWoMzoyMrBqTc4ofL7G24gdpy5HkUH,1085705643,0.0
9gcFF2Fp3Uk7sf1zx86oxSExSUQsdhdzJekZ31nYUbP2vcKPyJw,1066887882,0.0
9gebGxt4FkeFyvhss7LSSc8Wbp1fBiWQoVwUcYmGeqnTpyBAXhF,983245561,0.0
9fz1eterqwKFJbk9jZNGuGVNHigsh3t6puKeabBWPKqhCFdn4Jk,983245561,0.0
9hq7R1zrrUAmLp2Row7tMJwXhFYxSQf2Zn8UDrN6zJhzNQnnPiF,675254125,0.0
9i6qqTx56mxt1AYjiiZ1S6XeJQq8bfey1wvifHi6FwHFr2D9u1w,664637815,0.0
9fohhN3EFE5QBjtK1oaLAckYc1zGAjgpNRh6D9XK4MGXXVor75V,654837229,0.0
9gWQ7TLAnbNHQgjrdSeytiA8dwQgiqkcGWdr7q7jXSsCPgxdSP7,601274108,0.0
9hp3fH6LkT5tkKqrYUXX4J2D1TEYcBht62RhU6EXnSXCdrBH5jQ,516289590,0.0
9gafvsUirfGWeowmmLo6gCVUXSfNCcvNMJZYiSKburwewtumETB,483014953,0.0
