address,boxId,amount,percentage
9hQnPutx6iuY9CAX2cJBxGBzBJ8nbftLTPa6pavQkmUYmnhrAEk,2b28bc32370347ceca616484594b41855843ee71cecbb445f1dd925d506cd786,810268,0.364653
3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,01b51cc057cbdd946190125b852c93a982ecbc2e3aa3295af2a28be4620a2a553e8e5f5b42f1571752293d66564a2b55a053f2223b6d9e4a6b830c5edceec3dccd8f21186c84fb656280b9ad4b23cc8909bf054eeea82e37caa26fab201011286bb6aca4e81a57f92df307f324d3d06cfbbc49c15e8cf420accea609036c5276899ff7ed53d8fb8eb7c3b09260ae16252e7d15e6a28d2af5335d0870b3f563a0,381106,0.171513
9fnrsWpVuu9i5e8YYi5zbF7QhndYYmPNRA3QvNsn8wEyLg2B2r7,e9c8cdcc1a378e659ef0f3484c0de45137b54b38664d02f757ae65c0719abac7fff5332d29f86ae68d1d0afd1ba30313af88d24e148522be911ffff6a6bbeefbcb66db8f422eb86ebeff913c0693df5b31a5aaebc65a67d6afc96407d6a7e72f55e50536ce7f25eef42af81e7ab60daba2284d5e5078f2a66d7d876ae8d0fbb47e60cca9d458b84c90bc1fea76f33716405a2dfae858a58e188e9c91483157509442ae4f4481fe8f0ff02615516825424af9c588a75ace09aef7236a47fdd3d15dc22c9cf61d6ebc5c183f7d6c782406a40eb63cd9a64ef41f27c4a1c85a55ffdac04f52b5f01a7f7bb0a7f39f51bf38f9d1252a7b62e74520310f3447027e2906842eaf4d8474951c3e61920512c165c811b1c6d6a15163ad00c61903406794280f7fe5ed19c081a16252b0df65c57838f875617c702305df109592bdf7a2c9adf1801b313b739f671fb0a29b696be06f31e2ed381f2daa002fb0c47d7b83b9f35c742043906ffb1255b7b26349492bcd437d9f6ce454989761af9ce618fab09be1b5b34f3a7158835a801dacbe4d5dbf8797965ab39071d61be899d27255eb881be053017021d9d5eb960f2a0fa7ad17a7c327b4eebd25731d0c9ef41c3d39a3a37b1a921ac529cf3efbdd6591f36611f214e6d9ccb93f8818029bcc18488a7b90910f33db68648e1f4455928490658753bc1b011165d2db5e2ebc5fa4f56957b5e7ee374f9e8855e36afd5e61ac53820f2a041049ffec25fe45127043e588e65819206f6672993425907927e7ba812a4b2aab12252c26db0bf5b6283483b4cc130e051204cdf864b03217ce733475dd2738dad50c3205b52a7faf3ee87445f2704493f59ea6394ce39b515b762560ae42c8b2e38e4460615d095196a848df714a8f8c34f30aa69d3247fe7833d7b1699775553dc6914383a09ca8fbdf7595a214761f2f264ee8bb0cba9a1096d54860f76381846439cad54d2c56d9f363302137042dc1d5b65788d26b8714f8dccf2afcd57265f0c5330b3c76135e9a8de77a78fbee2ab5c979e889406d457b952de5f4abd4d323b8e5249d765d0fc139463ac5176576ccabb35f259d918e0db6c3cfffcd3320a1b22278720e00aaeabb088865e2f341089f07b657ad77e390cac612c2d9727ab2a697d362c6c09c91a466809202e1ef77bca49eb7a96f87e5c809bdb64ae0eb4c921f6241e458eae63b9a8a78ab1f723dfc65586f8f90cc84902aed4f76c4b3a3c62b3dd7ed7feeaf4fc8c7270c841768fa741867f0eb83a3b56cbaaa8aeb3b56bfeba83805302fb2fce4,47541,0.021395
9iPHxZu5hFTasPwt2jakUDThSdnDSGgR8hjNbiLfPTdp5s3Jvjf,3780de77d810c5aa4583d9871f97be5cfb3bfe14b07d882537d07a2ef79ca67a54cfd2b15b6aa7d55979b184efb3fc2fbad4141676d3ff1351a568d9705517af51cd2466114ff161913abbe51891978597c9151988ab027f044b29a5f8c2ef0b3e183e1a50c842953f4d2443407fe67e2c321fff22efa195365df9d4bc1be2b1c21a8b1c326bc168a3564924273ee6b422ec7704c44f83813e4e8f22d28d9ee5bde4b40e163269340047abba16a1234cfeb50722fe07f17af55ff15e21ad449741c92a51d470000941a3c3c6ed77bd0c00ed7377519d91c46eda1cce388f620098ac9b22d9a2bf61c821cf7596ff8fb108af73d8bf4b72ec830b509348ea3c657d5767737f4d85ad2e2bba3c87e785a89aebbbb0df050f5033fac5e5d4ae1b7bd45fcc5af8119cbf6c084c53536cb0fec5802eb724b361164fe2618bf26e64b005ca7bfe206f195a9a6e4955a81c97b334b466841717c86879deddba2f90f1c2633757a6c212458028cd7657320dc0c82b150a50fc89ace50bc41e82c857a602699727edbbce22399b82e8cd4b0a9dadce8e88992cb410253d8621d6db18307d969a2c7aea6aee9fac2fb2cfc21da93bf8eb01967ca9664eb4c777ea62ab28beaef6cfa3c62110544b6e2bf745e18f45dd188a0820670c0611dc977a48c93c416db6874deb698fcf45e9dafb9d713bb747f675754db594db9ea51f0781871ab7c4100f8df07b9c51ecde8f5e071cd7062af068a74ec7a03468576181187714745725ff7513dfb155bec6c5e8d792986c8e9b51301d6becf3c83117802992b26acc0878599368cb57129b206064b9f91576bf3bb616cc62d53f1279e015c6dffa60b077454563514c69bf79d73aa36c19276df3be4f5aa353010de88088b13f360296dc1762ac3698c8cc72528d463e3f9bf796119ed4e65d217f609159d95ce3e1b868314cb8175897be8fdc29db35d916b08f2a9dfa2443cd90a85d185c37287f826f0a5558fe52141d9c316fc4dbd5fc6d3570c3be4164aaaf63a2f4706b59fd58775994a1d38e09c0d424054d3769dc77cb52fa4849689145c7660aa58e408ea74bbceb4f3d272cb11c1d2f0e3f75c30132a8a13124e8b712da56c4c9393b19375dcdcaeb71920acf01ffa2c72374c6c1f813141a03c8d8fac3b741b5a78493c781a726c742c06273ff1afdef1d0f2f1fb524c14b45c1fc9f3ac8e9edcc88,45000,0.020252
5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,35486cf2f1dec7ee49084b94253933f06cef6931accb42f1f87ffb2cd7cf68a4,36489,0.016422
9f8fEHLmxaYA9Vv4VNDHh2sC7wPKAFPp9KMPk98ozP4YrNx9L17,5f9c19e5d5aacfebdac2bc39181260f99991f4e015f800d6321c67bede5266b9,22222,0.010001
9ejScUNSgEbLbuw469TsbDgZxVWdVLjpr4DWwMhBsX63TsiUKgY,1090206985b2ccd4a4b9272f51c828102f7ad2ac6dde560f8411b3aa4dc0c0ef,22128,0.009958
9iD7jLSrQSeefExf8oKwfxyZzAm5TEerZ9wxPg2cAJQ9NAcFPqp,55bd1203ee93e7cd4622197c66a1c73fc3581e752efb82db3efba0d3dbd26053f95519b6b4e4aca0136684452ae95e5b39403d1d5e07fa4c03c734a8cb20804ced93d862908ec999f6ac7d664cc4296a0c901acfc9872a312bfc0f46aee03dcfce281ac611dc2c11b41df4f4531d7a2f51dc6370bfdec0caf85741a394f3fda7afce009235ef3125c5c40d37bfa6cdd68503f57ab5cd7615bdb2993908057fb3d6ee871f776c7971e2cfd3051d9311035f34e019b4e554a2400bf27414d69bca9456508840b2f70d2fa92f64a9d3bb7c9cf2621172363d778e14d1096ad35defeae0060680fbb09573cb5de3a2166686a1ea9c82e79f8be898b993174e90d7855862094265e37606705b5129f235cc5566da363cea89ddb05a614b95bdc71c840f6d1a0804255ac45b65232c65319a5171e273371f78c4a6888b778370dd19b0a675b83f6d2a785f4c50db72ddb89cf5cfcec33d6c579846d1a161c100395aee53a587cf6cf733c3c5cad5d6c6cb007f6106e50130bd1490fabcbe1fe5555c9593739885248aad3cec8512e600a4afb4e1c56fa52c93541d34a01fddfe914ba7,21449,0.009653
9hmFveF1WCJ81VuJ36D7scvxgghbszA3Cdw7tJv3eohffq1SLva,fd9dfb6a535f487c8dbb8f90a280008185ec22e238d8e7ddde9f751d2d1e5de23d994e473305e11d82addd7fbc994bda1c6c2e0683967168ce1d7a66e23a1a0fb7aed3b51dceb0f0472bb05be577ddb1c57020f84f5f4d32337154ecee472f196ec3c49c049506a0961e9b0327a733f210ae575721cecc4a0230a314ac4946d0c45aac10b7d4f02c4793b7e9832db6b5afcd855337fd074c700b5e8be819d061d446cd890f14476f7d00c42aee3f84830f6961d4edafd3b71a2ab1c214ec52bc82180bb51e763688d6f0cd17c4ce5835462b77df852a71320ed9cd77ad046cc6ecf50a9e386e5d4d35754cde0e91c2577e9a3aad8e3384b79268056ddcd5ad9a8438f6232b2e15ac37bc497457dc74e270d0c0eba51336940dee7767167dc1c89058a18c059f5ea626e1962345ffe1d830d119e54f6bbd44c8e3e0bb0cf7abb2,17000,0.007651
9g7QyoUZdcfst83YQCfgc4uchDYxbEvTFURVyKVBJZh8AzeyYaZ,4bd5384ad138d8369199ccbb0ecab774a6a577c36c995e635113afc94b00035b,13800,0.006211
